transaction_id,transaction_date,sender_account_id,sender_name,sender_country,receiver_account_id,receiver_name,receiver_country,amount,currency,channel,transaction_type,source_system
7ebb3138-27bd-42dc-94e1-d16c2f3bec81,2026-07-24 09:53:49,ACC74188958,Lukas Petrov,FR,ACC27785402,John Petrov,FR,8778.22,PLN,CASH,DEPOSIT,MOBILE_APP
b51df8b2-5b83-498a-be03-aee05969824e,2026-07-24 22:00:54,ACC43554863,John Nowak,US,ACC84429198,Anna Schmidt,FR,1470.42,GBP,WIRE,TRANSFER,CARDS
138ae9c1-2070-48a6-a354-ef70969510b8,2026-07-24 07:47:27,ACC82286705,Piotr Schmidt,IR,ACC46456416,Marek Novak,AE,2137.67,USD,CARD,TRANSFER,MOBILE_APP
769ab42f-24b5-4506-aa8c-0210597bc165,2026-07-24 02:30:16,ACC59597086,Piotr Petrov,LU,ACC82909480,Piotr Lopez,RU,9234.75,EUR,MOBILE,DEPOSIT,CORE_BANKING
ce20b144-8bee-4338-a39f-a4f605fd79f8,2026-07-24 18:10:10,ACC85386435,Anna Dubois,GB,ACC69897763,Elena Lopez,GB,5445.97,PLN,CARD,TRANSFER,CORE_BANKING
25a82bab-a789-4978-8204-7cbcf372e046,2026-07-24 22:40:25,ACC53036072,John Petrov,PL,ACC81802559,John Petrov,FR,5176.12,GBP,MOBILE,TRANSFER,MOBILE_APP
4fe8a845-5d95-45db-be64-601faeded2d2,2026-07-24 10:52:04,ACC49945150,Piotr Muller,IR,ACC75632882,Sofia Nowak,US,2376.61,GBP,MOBILE,TRANSFER,MOBILE_APP
e4c949a8-3027-4d10-85b7-20b350310532,2026-07-24 14:30:27,ACC19317495,Piotr Rossi,RU,ACC78371272,Lukas Schmidt,US,3460.19,EUR,WIRE,WITHDRAWAL,CORE_BANKING
ec705614-e05d-451f-8f88-77e772992142,2026-07-24 10:58:27,ACC28419343,Piotr Dubois,US,ACC26104026,John Nowak,IR,9927.0,PLN,CARD,TRANSFER,CARDS
dc8d6c31-edfa-48a7-915e-fae44ee392e1,2026-07-24 13:05:51,ACC10038556,Marek Novak,GB,ACC63611082,Sofia Silva,CH,2527.41,USD,WIRE,DEPOSIT,MOBILE_APP
